index	id	category	image	question	answer	A	B	C	D
25	attention_focusing_25	attention	images/attention_focusing/attention_focusing_25.jpg	Please find the number section in the bottom right corner of the green bill at the top of this image, read the last three digits, and answer what the last three digits are.	268				
26	attention_focusing_26	attention	images/attention_focusing/attention_focusing_26.jpg	Please find the text section containing four letters in the top right corner of this image, read the text on it, and answer what the text is.	TELO				
27	attention_focusing_27	attention	images/attention_focusing/attention_focusing_27.jpg	Please find the text section containing six letters under the green arrow on the ground in this image, read the text on it, and answer what the text is.	XVERSE				
28	attention_focusing_28	attention	images/attention_focusing/attention_focusing_28.jpg	Please find the text section containing five digits on the side of the nearest component in this image, read the text on it, and answer what the text is.	22747				
29	attention_focusing_29	attention	images/attention_focusing/attention_focusing_29.jpg	Please find the text section containing one letter and two digits above the nearest component in this image, read the text on it, and answer what the text is.	A-35				
30	attention_focusing_30	attention	images/attention_focusing/attention_focusing_30.jpg	Please find the small font text next to the Coca-Cola logo on the right side of the bottle in this image, read the text on it, and answer what the text is.	MARCHIO REGISTRATO				
31	attention_focusing_31	attention	images/attention_focusing/attention_focusing_31.jpg	Please find the vertically arranged small font text on the gray billboard in this image, read the text on it, and answer what the text is.	FINANCIAL STREET				
32	attention_focusing_32	attention	images/attention_focusing/attention_focusing_32.jpg	Please find the text section inside the red box at the bottom right of the bowl in this image, read the text on it, and answer what the first three letters of the text are.	SAA				
33	attention_focusing_33	attention	images/attention_focusing/attention_focusing_33.jpg	Please find the text inside the circular logo to the right of the beverage in this image, read the text on it, and answer what the text is.	Cleo				
34	attention_focusing_34	attention	images/attention_focusing/attention_focusing_34.jpg	Please find the dark blue strip-shaped sign on the left side of the building in this horizontally mirrored image, read the text on it, and answer what the text is.	THE SUIT COMPANY				
35	attention_focusing_35	attention	images/attention_focusing/attention_focusing_35.jpg	Please find the label on the blue bottle in the lower right part of this image, read the text containing 6 letters on it, and answer what the text is.	LUZADA				
36	attention_focusing_36	attention	images/attention_focusing/attention_focusing_36.jpg	Please find the text in the lower left part of the red area in this image, read the text on it, and answer what the text is.	POSTES				
37	attention_focusing_37	attention	images/attention_focusing/attention_focusing_37.jpg	Please find the sign on the raised part of the blue port crane in this image, read the text on it, and answer what the text is.	PORT OF HAYDARPAŞA				
38	attention_focusing_38	attention	images/attention_focusing/attention_focusing_38.jpg	Please find the sign with white text on the tail fin of the airplane in this horizontally mirrored image, read the text on it, and answer what the text is.	NCA				
39	attention_focusing_39	attention	images/attention_focusing/attention_focusing_39.jpg	Please find the first row of numerical text from top to bottom on the back of the sail in this image, read the text on it, and answer what the text is.	189651				
40	attention_focusing_40	attention	images/attention_focusing/attention_focusing_40.jpg	Please find the second row of alphabetical text from top to bottom on the back of the sail in this image, read the text on it, and answer what the text is.	POR				
41	attention_focusing_41	attention	images/attention_focusing/attention_focusing_41.jpg	Please find the sign with white text at the center bottom of the motorcycle in this image, read the text on it, and answer what the text is.	DUCATI				
42	attention_focusing_42	attention	images/attention_focusing/attention_focusing_42.jpg	Please find the sign with blue text on the front half of the body in this image, read the text on it, and answer what the text is.	Lufthansa				
43	attention_focusing_43	attention	images/attention_focusing/attention_focusing_43.jpg	Please find the blue text logo on the rear half of the body in this image, read the text above, and answer what the text content is.	D-ABVS				
44	attention_focusing_44	attention	images/attention_focusing/attention_focusing_44.jpg	Please find the text logo on the first row from top to bottom on the yellow flag in this image, read the text above, and answer what the text content is.	leijasurffaus.fi				
45	attention_focusing_45	attention	images/attention_focusing/attention_focusing_45.jpg	Please find the text logo on the second row from top to bottom on the yellow flag in this image, read the text above, and answer what the text content is.	Koulutusta tuuleeni!				
124	chart_1	chart	images/chart/chart_1.jpg	Please calculate the proportion of master's degree holders among Chinese internet celebrities.	C	9.1	14.9	12.8	10.5
125	chart_2	chart	images/chart/chart_2.jpg	Please calculate the proportion of Greece among European countries with coal production exceeding 5 million tons in 2020.	A	2.0	1.5	2.5	3.0
126	chart_3	chart	images/chart/chart_3.jpg	Please calculate the proportion of each day in a week, what is the proportion for Thursday?	B	15.16	17.73	19.44	13.24
127	chart_4	chart	images/chart/chart_4.jpg	Among the proportions of the Ottoman Empire in Asia, Europe, and Africa, what is the proportion for Europe?	D	23	21	27	25
128	chart_5	chart	images/chart/chart_5.jpg	What is the proportion of Sichuan cuisine?	A	8	7.5	10	11.5
129	chart_6	chart	images/chart/chart_6.jpg	What is the proportion of Hunan?	B	9.15	7.62	10.56	5.24
130	chart_7	chart	images/chart/chart_7.jpg	What is the proportion of Speaker?	C	20.85	18.56	16.18	14.24
131	chart_8	chart	images/chart/chart_8.jpg	Please calculate the proportion of time spent on entertainment.	D	15.3	18.5	19.9	16.7
132	chart_9	chart	images/chart/chart_9.jpg	Please calculate the proportion of Java.	D	16.7	14.1	17.8	15.3
133	chart_10	chart	images/chart/chart_10.jpg	Please calculate the proportion of Beijing's GDP.	A	20.1	22.3	21.8	18.6
134	chart_11	chart	images/chart/chart_11.jpg	Please calculate the proportion of Samsung's OEM.	B	10.7	6.8	8.2	5.1
135	chart_12	chart	images/chart/chart_12.jpg	Please calculate the proportion of the manufacturing industry.	C	32.5	27.1	28.9	30.8
136	chart_13	chart	images/chart/chart_13.jpg	Please find the longest task cycle.	B	5 months	6 months	5.5 months	6.5 months
137	chart_14	chart	images/chart/chart_14.jpg	Please find which task among all current members has taken the longest time.	A	Refund callback processing	Reconciliation with the business system	Refund interface	Payment interface
138	chart_15	chart	images/chart/chart_15.jpg	Please find the task that has taken the longest time.	C	Field execution	Questionnaire design	Project confirmation	Questionnaire confirmation
139	chart_16	chart	images/chart/chart_16.jpg	Please find the state with the lowest percentage supporting Clinton?	D	Broward	Hillsborough	Miami-Dade	Polk
140	chart_17	chart	images/chart/chart_17.jpg	Please calculate the percentage of Mumbai relative to New Delhi?	C	83	82	84	85
141	chart_18	chart	images/chart/chart_18.jpg	Please calculate the number of days for the longest task?	A	35	45	30	25
142	chart_19	chart	images/chart/chart_19.jpg	Please calculate how many months are left to complete the personal public account?	D	1	2.5	1.5	2
143	chart_20	chart	images/chart/chart_20.jpg	Please calculate the proportion of Huawei Enjoy 5s?	B	0.1	0.2	0.15	2.5
144	chart_21	chart	images/chart/chart_21.jpg	Please find the year in which Germany had the smallest percentage that year?	A	2000	2001	2005	1995
145	chart_22	chart	images/chart/chart_22.jpg	Please calculate the probability of one people traveling on Qixi Festival?	B	0.30	0.26	0.28	0.24
146	chart_23	chart	images/chart/chart_23.jpg	Please calculate the net profit?	D	6210	5880	6110	6020
147	chart_24	chart	images/chart/chart_24.jpg	Please calculate how many more men are in the design department compared to the human resources department?	C	20	24	22	18
148	chart_25	chart	images/chart/chart_25.jpg	What is the area ratio of the blue sector to the red sector?	A	1.5	1.4	1.6	1.3
149	chart_26	chart	images/chart/chart_26.jpg	Which product type represents the largest numerical value?	B	Type D	Type C	Type A	Type B
150	chart_27	chart	images/chart/chart_27.jpg	Please count the exact number of red data points in the chart.	C	9	10	8	7
151	chart_28	chart	images/chart/chart_28.jpg	How many days is the longest task duration in the chart?	D	65	55	70	60
152	chart_29	chart	images/chart/chart_29.jpg	Which car has the longest rental duration in the chart?	D	Volvo V60	Volkswagen Golf	Nissan Leaf	Jaguar E-type
153	chart_30	chart	images/chart/chart_30.jpg	Which item has the largest median in the chart?	B	K	B	F	A
154	chart_31	chart	images/chart/chart_31.jpg	What is the maximum amount of the item with the largest value in the chart?	A	2444	2391	2512	2360
155	chart_32	chart	images/chart/chart_32.jpg	What is the total sales volume of pineapple juice in January and November?	C	360	330	340	350
156	chart_33	chart	images/chart/chart_33.jpg	What is the difference between the upper quartile of ASUS ratings and the upper quartile of Lenovo ratings?	A	0.025	0.03	0.015	0.02
157	chart_34	chart	images/chart/chart_34.jpg	What is the maximum value of Bor in the chart?	C	11	12	13	9
158	chart_35	chart	images/chart/chart_35.jpg	"Please calculate the maximum value of ""differentiated"" in the chart?"	D	0.34	0.38	0.33	0.36
159	chart_36	chart	images/chart/chart_36.jpg	Please calculate how much more GDP Xinjiang Uygur Autonomous Region had in 2013 compared to the average GDP of the Northwest Region in 2013 (in ten thousand yuan)?	B	4340	4370	4400	4410
160	chart_37	chart	images/chart/chart_37.jpg	Please calculate the profit in the chart?	B	1600	1400	1300	1500
161	chart_38	chart	images/chart/chart_38.jpg	Please calculate how many times the product indicator in the chart is compared to the contract-sending indicator?	C	2.73	2.69	2.72	2.65
162	chart_39	chart	images/chart/chart_39.jpg	Please calculate the profit value of the city with the highest sales profit?	D	18.9	19.75	21.69	20.85
163	chart_40	chart	images/chart/chart_40.jpg	Please estimate the number of public clouds in 2018?	A	2343	2421	2398	2308
164	chart_41	chart	images/chart/chart_41.jpg	What is the y-value of the blue point under this trend when X=70?	B	-1091	-1057	-1079	-1043
165	chart_42	chart	images/chart/chart_42.jpg	What is the y-value of the blue point under this trend when X=70?	C	350	330	340	360
166	chart_43	chart	images/chart/chart_43.jpg	What is the predicted y-value of the blue point when X=80?	A	229	217	247	238
167	chart_44	chart	images/chart/chart_44.jpg	Please calculate the turnover of the East China region (in ten thousand)?	D	430	421	487	463
168	chart_45	chart	images/chart/chart_45.jpg	What is the percentage proportion of the North China region?	C	27.98	23.76	21.82	31.09
169	chart_46	chart	images/chart/chart_46.jpg	How many days did the longest task take?	A	9	10	8	7
170	chart_47	chart	images/chart/chart_47.jpg	How many days did the shortest task take?	D	32	28	34	30
171	chart_48	chart	images/chart/chart_48.jpg	How many days are spent on designing the product prototype and implementing product functions?	B	8	10	7	9
172	chart_49	chart	images/chart/chart_49.jpg	What is the profit from Alipay orders?	C	50000	49000	47000	45000
173	chart_50	chart	images/chart/chart_50.jpg	Which skill of Candidate No. 3 is the strongest?	A	Industry experience	Local resources	Business compatibility	Team size
432	chart_51	chart	images/chart/chart_51.jpg	"According to the chart, what is the number of ""Distrust"" in Instagram?"	D	48	46	44	42
433	chart_52	chart	images/chart/chart_52.jpg	"According to the chart, what is the number of people in China who think ""less""?"	C	49	51	50	53
434	chart_53	chart	images/chart/chart_53.jpg	"According to the chart, what is the total number of people who ""Not at all"" and ""Not too much"" trust information from the Chinese government?"	A	84	85	82	83
435	chart_54	chart	images/chart/chart_54.jpg	According to the chart, what was the difference between Democrats and Republicans in 2017?	B	30	31	32	29
436	chart_55	chart	images/chart/chart_55.jpg	According to the chart, what is the value of the purple bar?	D	85.91	81.26	85.24	83.73
437	chart_56	chart	images/chart/chart_56.jpg	According to the chart, when did the peak occur?	B	2019Q2	2019Q3	2020Q1	2019Q4
438	chart_57	chart	images/chart/chart_57.jpg	According to the chart, what is the percentage of Australia?	A	61	60	62	59
439	chart_58	chart	images/chart/chart_58.jpg	"According to the chart, what is the percentage of people who chose ""No""?"	D	75	74	72	73
440	chart_59	chart	images/chart/chart_59.jpg	According to the chart, what is the percentage of females who died from breast cancer?	C	18	16	17	15
441	chart_60	chart	images/chart/chart_60.jpg	According to the chart, by how much did the proportion of people going to hospitals decrease in 2014 compared to 1986?	B	22	20	19	21
442	chart_61	chart	images/chart/chart_61.jpg	According to the chart, what was the number of ad clicks in May?	C	160	155.5	158.5	162.5
443	chart_62	chart	images/chart/chart_62.jpg	According to the chart, assuming the radius of the circle represents the number of parameters, how many times larger is Wu Dao 2.0's parameter count compared to PanGu-Sigma?	D	1.37	1.12	1.4	1.28
444	chart_63	chart	images/chart/chart_63.jpg	According to the chart, what is the number of car loan defaults?	A	478179	484259	482198	472981
445	chart_64	chart	images/chart/chart_64.jpg	According to the chart, in which year did alcohol and drug use disorders account for the highest proportion of the total disease burden in Guatemala?	A	2006	2008	2007	2005
446	chart_65	chart	images/chart/chart_65.jpg	According to the chart, how many people were accidentally hit and killed by MTA trains in 2012?	B	39	36	37	38
447	chart_66	chart	images/chart/chart_66.jpg	"According to the chart, how many respondents supported ""Processed under Title 8""?"	D	2.0 million	1.8 million	2.1 million	1.9 million
448	chart_67	chart	images/chart/chart_67.jpg	According to the chart, which term had the lowest percentage in the National Science Foundation-funded project abstracts in 2020?	C	Marginalize	Latinx	Intersectional	Disparity
449	chart_68	chart	images/chart/chart_68.jpg	According to the chart, what is the proportion of women in the top 1% of high-income earners in the UK?	D	17.5	17	16.5	18
450	chart_69	chart	images/chart/chart_69.jpg	According to the chart, what was the proportion of television in the total number in August?	A	64	67	66	65
451	chart_70	chart	images/chart/chart_70.jpg	According to the chart, which age group had the largest population in 1978?	B	6	8	9	7
452	chart_71	chart	images/chart/chart_71.jpg	According to the chart, which country is predicted to have the highest peak in labor productivity?	C	Slovenia	Austria	Norway	New Zealand
453	chart_72	chart	images/chart/chart_72.jpg	"According to the chart, what is the proportion of ""Once a month""?"	A	33	35	32	34
454	chart_73	chart	images/chart/chart_73.jpg	According to the chart, how many nuclear power plants are there in Russia?	D	36	33	34	35
455	chart_74	chart	images/chart/chart_74.jpg	"According to the chart, what is the proportion of ""Financial disincentive to return to work"" in ""Earning average wage"" for Australia?"	B	42.4	41.9	40.8	41.4
456	chart_75	chart	images/chart/chart_75.jpg	"According to the chart, what is the number of ""Health""?"	C	182	180	178	176
457	chart_76	chart	images/chart/chart_76.jpg	According to the chart, what is the proportion of Snapchat in 2017?	D	46	48	45	47
458	chart_77	chart	images/chart/chart_77.jpg	According to the chart, how much farmland does Scotland have?	C	26.8	25.3	26.4	25.6
459	chart_78	chart	images/chart/chart_78.jpg	According to the chart, what is the proportion of Robot vacuum cleaners?	A	11.5	12.5	12	11
460	chart_79	chart	images/chart/chart_79.jpg	According to the chart, what is the proportion of the Russian Federation?	B	19.8	20.0	20.5	20.3
461	chart_80	chart	images/chart/chart_80.jpg	Based on the chart, what is the quantity of Curry?	C	2606	2616	2626	2596
462	chart_81	chart	images/chart/chart_81.jpg	Based on the chart, what is the male-to-female ratio of newborn deaths under 5 years old in Pakistan?	A	1.15	1.35	1.05	1.25
463	chart_82	chart	images/chart/chart_82.jpg	Based on the chart, what is the proportion of Sensing compared to Intuition?	B	73.0	73.5	72.0	72.5
464	chart_83	chart	images/chart/chart_83.jpg	Based on the chart, how many of the Top 25% of survey participants contributed more than 1000 videos?	D	6	8	7	5
465	chart_84	chart	images/chart/chart_84.jpg	"Based on the chart, what is the proportion of ""Other"" in Q2 2019?"	B	45	43	47	41
466	chart_85	chart	images/chart/chart_85.jpg	Based on the chart, how many jobs have a higher taxable income for men than for women?	C	19	18	20	17
467	chart_86	chart	images/chart/chart_86.jpg	Based on the chart, what is the result in million euros for 2001?	A	-366	-356	-486	-376
468	chart_87	chart	images/chart/chart_87.jpg	Based on the chart, how many Republicans were there in 2017?	D	54	51	53	52
469	chart_88	chart	images/chart/chart_88.jpg	Based on the chart, what is the proportion for Week 11?	C	34.37	35.26	36.71	37.89
470	chart_89	chart	images/chart/chart_89.jpg	Based on the chart, what is the proportion of growth in job positions in San Francisco's tech market in North America?	D	28.75	33.54	32.96	30.85
471	chart_90	chart	images/chart/chart_90.jpg	According to the chart, what was the total number of visitors to Cuba in 2014?	A	347800	357800	337800	327800
472	chart_91	chart	images/chart/chart_91.jpg	According to the chart, what is the number of Conservatives?	B	304	306	305	307
473	chart_92	chart	images/chart/chart_92.jpg	According to the chart, when was the peak?	C	Jan'21	Feb'21	Dec'20	Nov'20
474	chart_93	chart	images/chart/chart_93.jpg	According to the chart, how many years apart are the peak and the trough? What is the difference in scores?	B	9, 5	10, 5	10, 6	9, 6
475	chart_94	chart	images/chart/chart_94.jpg	According to the chart, what was the value for China in 2018?	A	0.6	0.55	0.5	0.65
476	chart_95	chart	images/chart/chart_95.jpg	According to the chart, what was the proportion of Agriculture in 2014?	D	29.0	28.0	28.5	29.5
477	chart_96	chart	images/chart/chart_96.jpg	According to the chart, what was the percentage of individuals using the internet in Europe in 2016?	D	75.43	75.98	73.68	74.62
478	chart_97	chart	images/chart/chart_97.jpg	According to the chart, what was the number of Residential property: owner-occupied & social housing in 2013?	B	3811	3831	3841	3821
479	chart_98	chart	images/chart/chart_98.jpg	According to the chart, what was the average number of partners in Turkey?	C	14.3	14.4	14.5	14.6
480	chart_99	chart	images/chart/chart_99.jpg	According to the chart, in which year and quarter did the third-highest value occur?	A	Q4 19	Q3 19	Q1 20	Q2 20
481	chart_100	chart	images/chart/chart_100.jpg	According to the chart, what is the percentage of health spending by Medicaid in 2017?	A	16.6	16.3	16.9	16.0
46	color_1	color	images/color/color_1.jpg	Please count the beans of different colors. Which color of beans has the least quantity?	A	Green	All have the same quantity	Blue	Red
47	color_2	color	images/color/color_2.jpg	From the perspective of standing in front of the table, how many blue rectangles are approximately placed vertically?	C	4	5	2	3
48	color_3	color	images/color/color_3.jpg	From the perspective of standing in front of the table, how many blue rectangles are approximately placed horizontally?	D	4	2	3	1
49	color_4	color	images/color/color_4.jpg	How many yellow chips are there in the stack of chips on the right?	A	8	10	7	9
50	color_5	color	images/color/color_5.jpg	How many red items are in the picture?	C	8	7	6	9
51	color_6	color	images/color/color_6.jpg	How many green discs are in the picture?	B	15	14	16	13
52	color_7	color	images/color/color_7.jpg	How many blue pieces are in the picture?	A	6	7	8	9
53	color_8	color	images/color/color_8.jpg	How many red chips are in two stacks?	B	17	18	19	20
54	color_9	color	images/color/color_9.jpg	How many green chips are in the picture?	D	13	19	17	15
55	color_10	color	images/color/color_10.jpg	How many white chips are in the picture?	C	5	7	9	11
174	color_11	color	images/color/color_11.jpg	What is the proportion of blue in the entire image? Options:	B	6%-8%	4%-6%	2%-4%	8%-10%
175	color_12	color	images/color/color_12.jpg	What is the proportion of yellow in the three-color ball? Options:	D	21%	27%	25%	23%
176	color_13	color	images/color/color_13.jpg	What is the proportion of the purple block on the far right in the entire image? Options:	D	12%-15%	15%-18%	21%-24%	18%-21%
177	color_14	color	images/color/color_14.jpg	How many blue bananas are in the picture? Options:	C	9	11	10	12
178	color_15	color	images/color/color_15.jpg	How many green strawberries are in the picture? Options:	B	11	12	10	13
181	color_16	color	images/color/color_16.jpg	What proportion of the red on the wall of the house is in the entire image? Options:	C	9%-11%	7%-9%	5%-7%	3%-5%
183	color_17	color	images/color/color_17.jpg	How many red flowers (including light red and dark red) are there in total? Options:	A	6	7	5	4
184	color_18	color	images/color/color_18.jpg	What is the proportion of the red area on the map? Options:	B	62%-64%	58%-60%	56%-58%	60%-62%
185	color_19	color	images/color/color_19.jpg	What proportion does the white part within the white border in the picture occupy in this frame? Options:	A	16%	22%	13%	19%
186	color_20	color	images/color/color_20.jpg	What is the proportion of blue stripes on this ball? Options:	B	3%-5%	5%-7%	1%-3%	7%-9%
187	color_21	color	images/color/color_21.jpg	What percentage of the entire image does the green part of the green object occupy? Options:	A	10%-12%	6%-8%	4%-6%	8%-10%
188	color_22	color	images/color/color_22.jpg	What proportion of the middle part of the black background is occupied by yellow? Options:	B	15%-17%	11%-13%	9%-11%	13%-15%
189	color_23	color	images/color/color_23.jpg	What is the proportion of black in the entire image? Options:	D	32%-34%	30%-32%	36%-38%	34%-36%
190	color_24	color	images/color/color_24.jpg	What is the proportion of the orange stripes in the entire image? Options:	C	5%-7%	0%-1%	3%-5%	1%-3%
191	color_25	color	images/color/color_25.jpg	What is the proportion of red on the right side of in the entire image? Options:	D	4%-5%	3%-4%	2%-3%	5%-6%
192	color_26	color	images/color/color_26.jpg	What proportion does the green in the middle of the entire picture take up? Options:	D	3%-4%	5%-6%	2%-3%	4%-5%
193	color_27	color	images/color/color_27.jpg	What is the proportion of the blue color block on the right side of the entire image? Options:	A	5%-6%	3%-4%	4%-5%	2%-3%
194	color_28	color	images/color/color_28.jpg	What is the proportion of the purple color block on the right side of the entire image?? Options:	B	5%-7%	3%-5%	1%-3%	7%-9%
195	color_29	color	images/color/color_29.jpg	Excluding the black background, what is the proportion of Dark Red in the image? Options:	C	34%-36%	40%-42%	38%-40%	36%-38%
196	color_30	color	images/color/color_30.jpg	Excluding the black background, what is the proportion of blue in the image? Options:	C	58%-60%	60%-62%	54%-56%	56%-58%
197	color_31	color	images/color/color_31.jpg	Excluding the black background, what is the proportion of yellow in the image? Options:	B	6%-7%	4%-5%	5%-6%	3%-4%
199	color_32	color	images/color/color_32.jpg	Please use the HSV color space to count beans of different colors. Which color of beans has the largest quantity? Options:	C	Green	Blue	Red	
200	color_33	color	images/color/color_33.jpg	Please use the HSV color space to count beans of different colors. How many green beans are there in the picture? Options:	D	14	17	15	16
202	color_34	color	images/color/color_34.jpg	Please use the HSV color space to count beans of different colors. How many blue beans are there in the picture? Options:	D	9	6	8	7
203	color_35	color	images/color/color_35.jpg	What is the proportion of the blue squares in the image? Options:	A	7%-8%	5%-6%	4%-5%	6%-7%
204	color_36	color	images/color/color_36.jpg	What is the proportion of the purple squares in the image? Options:	A	3%-5%	7%-9%	9%-11%	5%-7%
205	color_37	color	images/color/color_37.jpg	What is the proportion of the green tabletop at the bottom of the image? Options:	B	14%-16%	12%-14%	10%-12%	16%-18%
206	color_38	color	images/color/color_38.jpg	What is the proportion of the green background wall in the image? Options:	C	32%-34%	34%-36%	36%-38%	30%-32%
207	color_39	color	images/color/color_39.jpg	What is the proportion of the red part of the background wall in the image? Options:	A	63%-67%	67%-71%	59%-63%	55%-59%
208	color_40	color	images/color/color_40.jpg	What is the proportion of the white ball in the image? Options:	A	8%-10%	12%-14%	6%-8%	10%-12%
209	color_41	color	images/color/color_41.jpg	What is the proportion of the yellow part of the three-colored ball in the image? Options:	B	6%-8%	2%-4%	8%-10%	4%-6%
482	color_42	color	images/color/color_42.jpg	What is the percentage of the brown area on the map (excluding the legend)?	D	16%	14%	10%	12%
483	color_43	color	images/color/color_43.jpg	What is the percentage of the blue area on the map of Australia?	B	0.6%	1.8%	2.3%	2.9%
484	color_44	color	images/color/color_44.jpg	What is the percentage of the yellow area on the map?	B	7.2%	6.7%	5.9%	4.5%
486	color_45	color	images/color/color_45.jpg	How many green chairs are there in the picture?	A	6	4	7	5
487	color_46	color	images/color/color_46.jpg	How many green bananas are there in the picture?	B	4	7	6	5
488	color_47	color	images/color/color_47.jpg	How many green areas are there in the image?	C	6	7	9	8
489	color_48	color	images/color/color_48.jpg	Which ammonia reading in the image is the closest?	B	0ppm	0.25ppm	1.0ppm	0.5ppm
490	color_49	color	images/color/color_49.jpg	What is the percentage of the green area in South America on the map?	C	3.2%	6.7%	4.9%	5.8%
491	color_50	color	images/color/color_50.jpg	Which ammonia reading in the image is the closest?	D	2.0ppm	1.0ppm	8.0ppm	4.0ppm
492	color_51	color	images/color/color_51.jpg	How many red bananas are there in the image?	A	13	12	11	14
493	color_52	color	images/color/color_52.jpg	How many yellow pears are there in the image?	D	7	9	6	8
494	color_53	color	images/color/color_53.jpg	How many purple carrots are there in the image?	A	9	7	10	8
495	color_54	color	images/color/color_54.jpg	What is the proportion of gray in the image?	C	14%	11%	12%	13%
496	color_55	color	images/color/color_55.jpg	How many red carrots are there in the image?	B	8	6	5	7
497	color_56	color	images/color/color_56.jpg	How many orange-yellow carrots are there in the image?	B	9	10	11	8
498	color_57	color	images/color/color_57.jpg	How many white carrots are there in the image?	D	6	9	8	7
499	color_58	color	images/color/color_58.jpg	How many bananas with green are there in the image?	A	15	16	13	14
500	color_59	color	images/color/color_59.jpg	How many yellow bananas are closest to the camera in the image?	C	18	16	20	14
504	color_60	color	images/color/color_60.jpg	How many pomegranates are in the picture?	D	12	14	13	11
505	color_61	color	images/color/color_61.jpg	How many white lotus seeds are outside the basket?	A	12	14	11	13
506	color_62	color	images/color/color_62.jpg	How many people wearing white clothes are in the picture?	D	4	5	2	3
507	color_63	color	images/color/color_63.jpg	How many zebras are in the picture?	C	12	11	13	14
508	color_64	color	images/color/color_64.jpg	How many people wearing green clothes are in the picture?	B	0	3	2	1
509	color_65	color	images/color/color_65.jpg	How many states fully support Trump?	C	26	24	25	27
